Season,League,Trans,YrAdj,FirstName,LastName,Pos,Team,GP,G,A,PTS,GC,WCe ,PIM,PlusMinus,Shots,PPG,PPA,SHG,SHA,ENG,SOShot,SOG,AGP,AG,AA,APTS,AGC,TmGP,TmG,TmA,ExpPts,ExpGC,PAX,GCAX
2009,CIS,0.36,1.15,Danielle,Beach,D,York,22,2,6,8,3.1,2.9,18,0,0,1,,0,,0,,,22,2,7,9,3.5,487,75,108,5.5,2.3,2.5,0.8
2015,CIS,0.36,1.44,Chantelle,Beadman-Rolph,D,Mount Royal,9,0,0,0,0,0,10,-4,1,0,0,0,0,0,0,0,9,0,0,0,0,503,49,72,1.5,0.6,-1.5,-0.6
2013,CIS,0.36,1.31,Maggie,Beaton,F,Dalhousie,24,4,1,5,2.4,1.8,10,-9,40,0,,0,,0,,,24,5,1,7,3.1,429,49,63,7.6,3.2,-2.6,-0.8
2014,CIS,0.36,1.37,Maggie,Beaton,F,Dalhousie,22,5,9,14,5.6,5,12,3,48,2,,0,,0,,,22,7,12,19,7.7,396,54,78,8.3,3.5,5.7,2.2
2009,CIS,0.36,1.15,Page,Beaton,D,Saskatchewan,20,0,2,2,0.6,0.7,12,5,3,0,0,0,0,0,0,0,20,0,2,2,0.7,430,87,147,7.5,2.8,-5.5,-2.2
2009,CIS,0.36,1.15,Ashley,Beattie,F,Lethbridge,24,2,1,3,1.3,1.1,10,-8,30,2,0,0,0,0,2,0,24,2,1,3,1.5,429,36,53,6.1,2.4,-3.1,-1.1
2010,CIS,0.36,1.17,Ashley,Beattie,F,Lethbridge,18,3,4,7,3.1,2.5,10,-8,24,2,1,0,0,0,2,0,18,4,5,8,3.6,395,39,50,4.7,2.1,2.3,1
2011,CIS,0.36,1.13,Ashley,Beattie,F,Lethbridge,24,3,9,12,4.3,4.3,12,-4,43,2,5,0,0,0,0,0,24,3,10,14,4.9,425,58,93,10,4,2,0.4
2012,CIS,0.36,1.24,Ashley,Beattie,D,Lethbridge,28,2,7,9,3.7,3.2,22,-11,43,0,0,0,0,0,1,1,28,2,9,11,4.6,504,55,71,4.6,2.1,4.4,1.6
2016,CIS,0.36,1.38,Chantal,Beauchamp,D,Moncton,17,0,2,2,0.7,0.7,4,-4,13,0,,0,,0,,,24,0,3,3,0.9,399,53,79,3.9,1.6,-1.9,-0.9
2012,CIS,0.36,1.24,Laurence,Beaulieu,D,Montreal,17,0,3,3,1.1,1.1,25,0,0,0,,0,,0,,,17,0,4,4,1.3,335,89,126,7.6,3.2,-4.6,-2.1
2013,CIS,0.36,1.31,Laurence,Beaulieu,D,Montreal,20,1,4,5,1.9,1.8,14,0,0,1,,0,,0,,,20,1,5,7,2.4,362,93,136,8.7,3.6,-3.7,-1.7
2014,CIS,0.36,1.37,Laurence,Beaulieu,D,Montreal,20,2,7,9,3.5,3.2,18,0,0,1,,0,,0,,,20,3,10,12,4.8,361,88,121,7.8,3.4,1.2,0.2
2015,CIS,0.36,1.44,Laurence,Beaulieu,D,Montreal,20,1,6,7,2.6,2.5,8,0,0,0,,0,,0,,,20,1,9,10,3.8,358,69,98,6.3,2.7,0.7,-0.1
2016,CIS,0.36,1.38,Laurence,Beaulieu,D,Montreal,20,2,4,6,2.2,2.2,20,0,0,0,,0,,0,,,24,3,6,8,3.1,348,58,93,5.9,2.3,0.1,0
2009,CIS,0.36,1.15,Erin,Beaver,D,Carleton,17,0,0,0,0,0,12,-1,0,0,,0,,0,,,17,0,0,0,0,347,36,59,3.3,1.2,-3.3,-1.2
2010,CIS,0.36,1.17,Erin,Beaver,D,Carleton,19,0,3,3,0.9,1.1,2,0,0,0,,0,,0,,,19,0,4,4,1.1,347,41,68,4.1,1.6,-1.1,-0.7
2011,CIS,0.36,1.13,Erin,Beaver,D,Carleton,19,1,1,2,0.9,0.7,8,0,0,0,,0,,0,,,19,1,1,2,1,346,49,70,4.5,1.9,-2.5,-1
2012,CIS,0.36,1.24,Erin,Beaver,D,Carleton,19,1,3,4,1.4,1.4,8,0,0,1,,0,,0,,,19,1,4,5,1.8,295,44,71,5.1,2,-1.1,-0.5
2013,CIS,0.36,1.31,Erin,Beaver,D,Carleton,20,0,4,4,1.4,1.4,10,0,0,0,,0,,0,,,20,0,5,5,1.9,342,32,45,3,1.3,1,0.1
2016,CIS,0.36,1.38,Mariah,Beckett,A,Laurentian,6,2,0,2,1,0.7,0,0,0,0,,0,,0,,,24,3,0,3,1.4,432,64,89,2.6,1,-0.6,0
2010,CIS,0.36,1.17,Gillian,Beggs,F,UOIT,27,1,3,4,1.6,1.4,2,0,0,0,,0,,0,,,27,1,4,5,1.8,478,49,69,8.2,3.4,-4.2,-1.9
2011,CIS,0.36,1.13,Gillian,Beggs,F,UOIT,26,0,1,1,0.3,0.4,6,0,0,0,,0,,0,,,26,0,1,1,0.4,470,62,98,11.2,4.4,-10.2,-4
2012,CIS,0.36,1.24,Paige,Belair,F,StFX,12,3,4,7,2.9,2.5,2,11,33,1,,0,,0,,,12,4,5,9,3.6,359,76,107,7.3,3,-0.3,-0.1
2013,CIS,0.36,1.31,Paige,Belair,F,StFX,24,2,5,7,2.7,2.5,26,1,36,0,,0,,0,,,24,3,7,9,3.5,432,87,128,14.7,6,-7.7,-3.3
2013,CIS,0.36,1.31,Andrea,Belanger,?,Moncton,24,0,2,2,0.9,0.7,6,0,15,0,,0,,0,,,24,0,3,3,1.1,383,53,61,9,4.3,-7,-3.4
