Season,League,Trans,YrAdj,FirstName,LastName,Pos,Team,GP,G,A,PTS,GC,WCe ,PIM,PlusMinus,Shots,PPG,PPA,SHG,SHA,ENG,SOShot,SOG,AGP,AG,AA,APTS,AGC,TmGP,TmG,TmA,ExpPts,ExpGC,PAX,GCAX
2003,NCAA-I,0.6,1.13,Carrie,Holldorf,F/D,St Cloud state,32,12,18,30,12.3,18,,,,5,,1,,0,,,27,14,20,34,13.9,533,74,105,11.4,4.8,18.6,7.6
2004,NCAA-I,0.6,1.09,Carrie,Holldorf,F/D,St Cloud state,35,6,10,16,6.2,9.6,,,,2,,0,,0,,,27,7,11,17,6.7,625,63,100,10.5,4.1,5.5,2.1
2009,NCAA-I,0.6,1.24,Tina,Hollowell,F,Ohio State,37,1,3,4,1.4,2.4,8,,,0,,0,,0,,,27,1,4,5,1.7,666,122,204,22.7,8.5,-18.7,-7.1
2010,NCAA-I,0.6,1.21,Tina,Hollowell,F,Ohio State,36,3,13,16,5.7,9.6,14,,,0,,0,,0,,,27,4,16,19,6.8,645,99,155,16.9,6.8,-0.9,-1.2
2011,NCAA-I,0.6,1.12,Tina,Hollowell,F,Ohio State,36,4,2,6,2.6,3.6,18,,,0,,0,,0,,,27,4,2,7,3,618,99,153,18.3,7.1,-12.3,-4.4
2012,NCAA-I,0.6,1.19,Tina,Hollowell,F,Ohio State,37,12,12,24,9.5,14.4,18,,,6,,0,,1,,,27,14,14,29,11.4,666,107,182,18.7,6.7,5.3,2.8
2006,NCAA-I,0.6,1.13,Amy,Hollstein,F,Connecticut,35,13,9,22,9.5,13.2,,,,6,,0,,0,,,27,15,10,25,10.8,630,82,121,12.8,4.9,9.2,4.7
2007,NCAA-I,0.6,1.2,Amy,Hollstein,F,Connecticut,35,10,12,22,9.2,13.2,34,,,1,,0,,0,,,27,12,14,26,11.1,628,99,140,15.4,6.3,6.6,2.9
2008,NCAA-I,0.6,1.15,Amy,Hollstein,F,Connecticut,35,13,14,27,10.8,16.2,18,,,4,,0,,2,,,27,15,16,31,12.5,630,100,161,16.5,6.1,10.5,4.7
2009,NCAA-I,0.6,1.24,Amy,Hollstein,F,Connecticut,37,8,8,16,6.4,9.6,16,,,0,,2,,0,,,27,10,10,20,7.9,666,95,159,16.8,6.1,-0.8,0.2
2002,NCAA-I,0.6,1.01,Annamarie,Holmes,D,Princeton,31,6,16,22,8.3,13.2,,,,3,,1,,0,,,27,6,16,22,8.4,516,103,155,10.1,4.1,11.9,4.2
2008,NCAA-I,0.6,1.15,Ashley,Holmes,D,North Dakota,36,0,6,6,2,3.6,6,,,0,,0,,0,,,27,0,7,7,2.3,582,84,127,9,3.7,-3,-1.7
2009,NCAA-I,0.6,1.24,Ashley,Holmes,D,North Dakota,31,1,4,5,1.7,3,12,,,0,,0,,0,,,27,1,5,6,2.2,594,61,98,5.7,2.2,-0.7,-0.5
2010,NCAA-I,0.6,1.21,Ashley,Holmes,D,North Dakota,36,0,1,1,0.3,0.6,23,,,0,,0,,0,,,27,0,1,1,0.4,592,116,167,12.2,5,-11.2,-4.7
2011,NCAA-I,0.6,1.12,Ashley,Holmes,D,North Dakota,36,0,7,7,2.2,4.2,6,,,0,,0,,0,,,27,0,8,8,2.5,652,155,243,15.2,6,-8.2,-3.8
2005,NCAA-I,0.6,1.19,Jackie,Holmes,F,Maine,6,0,0,0,0,0,,,,0,,0,,0,,,27,0,0,0,0,505,99,136,3.4,1.4,-3.4,-1.4
2001,NCAA-I,0.6,1.01,Nikola,Holmes,F,Princeton,24,5,8,13,5.3,7.8,,,,4,,0,,0,,,27,5,8,13,5.4,397,79,111,13.7,5.7,-0.7,-0.4
2002,NCAA-I,0.6,1.01,Nikola,Holmes,F,Princeton,31,9,16,25,9.8,15,,,,3,,0,,0,,,27,9,16,25,9.9,516,103,155,17.9,7.2,7.1,2.6
2006,NCAA-I,0.6,1.13,Steph,Holmes,F,New Hampshire,36,7,9,16,6.5,9.6,,,,0,,0,,0,,,27,8,10,18,7.3,658,149,226,24.9,9.9,-8.9,-3.4
2007,NCAA-I,0.6,1.2,Steph,Holmes,F,New Hampshire,37,8,8,16,6.5,9.6,26,,,5,,0,,0,,,27,10,10,19,7.9,669,158,250,27.5,10.5,-11.5,-4
2008,NCAA-I,0.6,1.15,Stephanie,Holmes,F,Cornell,16,3,13,16,5.4,9.6,12,,,1,,1,,0,,,27,3,15,18,6.2,516,92,154,8.8,3.4,7.2,2
2006,NCAA-I,0.6,1.13,Elin,Holmlov,F,Minnesota Duluth,31,6,20,26,9.4,15.6,,,,2,,0,,0,,,27,7,23,29,10.7,676,128,199,17.4,7,8.6,2.4
2007,NCAA-I,0.6,1.2,Elin,Holmlov,F,Minnesota Duluth,36,20,21,41,16.6,24.6,24,,,7,,1,,0,,,27,24,25,49,19.9,655,166,266,27.3,10.2,13.7,6.4
2008,NCAA-I,0.6,1.15,Elin,Holmlov,F,Minnesota Duluth,34,23,28,51,20,30.6,51,,,7,,0,,0,,,27,26,32,59,23,698,150,247,21.3,7.8,29.7,12.2
2010,NCAA-I,0.6,1.21,Elin,Holmlov,F,Minnesota Duluth,34,18,34,52,19.8,31.2,20,,,0,,1,,0,,,27,22,41,63,23.9,559,132,208,22.4,8.9,29.6,10.9
2001,NCAA-I,0.6,1.01,Erika,Holst,F,Minnesota Duluth,30,16,22,38,16.5,22.8,,,,3,,0,,0,,,27,16,22,38,16.6,606,133,173,16.8,7.3,21.3,9.1
2002,NCAA-I,0.6,1.01,Erika,Holst,F,Minnesota Duluth,32,34,30,64,26.6,38.4,,,,8,,0,,0,,,27,34,30,65,26.9,622,226,352,33.5,12.5,30.5,14.1
2006,NCAA-I,0.6,1.13,Jessica,Holt,D,Boston University,8,0,0,0,0,0,,,,0,,0,,0,,,27,0,0,0,0,612,93,124,1.9,0.8,-1.9,-0.8
2002,NCAA-I,0.6,1.01,Natasha,Holt,D,North Dakota,26,3,4,7,3.1,4.2,,,,1,,0,,1,,,27,3,4,7,3.1,447,65,81,5.7,2.6,1.3,0.6
2010,NCAA-I,0.6,1.21,Taylor,Holze,F,Boston University,29,4,7,11,4.2,6.6,6,,,0,,0,,0,,,27,5,8,13,5.1,684,132,211,17.6,6.8,-6.6,-2.6
2011,NCAA-I,0.6,1.12,Taylor,Holze,F,Boston University,37,5,11,16,5.9,9.6,22,,,0,,0,,0,,,27,6,12,18,6.6,680,125,204,21.6,8.3,-5.6,-2.4
2012,NCAA-I,0.6,1.19,Taylor,Holze,F,Boston University,17,1,0,1,0.5,0.6,4,,,0,,0,,0,,,27,1,0,1,0.6,666,139,232,11.6,4.3,-10.6,-3.8
2013,NCAA-I,0.6,1.31,Taylor,Holze,F,Boston University,38,4,7,11,4.1,6.6,12,,,0,,0,,0,,,27,5,9,14,5.4,683,113,186,20.4,7.7,-9.4,-3.6
2004,NCAA-I,0.6,1.09,Erin,Holznagel,F,Minnesota Duluth,29,0,1,1,0.3,0.6,,,,0,,0,,0,,,27,0,1,1,0.4,594,131,201,20.4,8.1,-19.4,-7.7
2005,NCAA-I,0.6,1.19,Erin,Holznagel,F,Minnesota Duluth,11,0,2,2,0.8,1.2,,,,0,,0,,0,,,27,0,2,2,0.9,612,120,156,6,2.6,-4,-1.9
2009,NCAA-I,0.6,1.24,Xandra,Hompe,F,Cornell,30,0,0,0,0,0,2,,,0,,0,,0,,,27,0,0,0,0,546,103,157,18.1,7.2,-18.1,-7.2
2010,NCAA-I,0.6,1.21,Xandra,Hompe,F,Cornell,28,1,3,4,1.4,2.4,0,,,1,,0,,0,,,27,1,4,5,1.7,559,157,271,26.8,9.9,-22.8,-8.5
2011,NCAA-I,0.6,1.12,Xandra,Hompe,F,Cornell,28,2,0,2,1,1.2,0,,,0,,0,,0,,,27,2,0,2,1.1,552,161,277,28,10.2,-26,-9.2
2011,NCAA-I,0.6,1.12,Jessica,Hon,F,St Lawrence,37,5,4,9,3.7,5.4,28,,,1,,0,,0,,,27,6,4,10,4.2,684,121,197,21.2,8,-12.2,-4.2
2012,NCAA-I,0.6,1.19,Jessica,Hon,F,St Lawrence,30,1,4,5,1.8,3,8,,,0,,0,,0,,,27,1,5,6,2.1,681,98,155,13.7,5.4,-8.7,-3.6
2013,NCAA-I,0.6,1.31,Jessica,Hon,F,St Lawrence,35,4,5,9,3.4,5.4,4,,,0,,0,,0,,,27,5,7,12,4.5,613,74,131,14.2,5.1,-5.2,-1.7
2014,NCAA-I,0.6,1.3,Jessica,Hon,F,St Lawrence,36,4,5,9,3.6,5.4,4,,,0,,0,,0,,,27,5,7,12,4.7,634,105,162,18.6,7.3,-9.6,-3.7
2001,NCAA-I,0.6,1.01,Brittany,Hoole,F,Sacred Heart,24,1,1,2,0.9,1.2,,,,0,,0,,0,,,27,1,1,2,1,421,94,106,14.4,6.7,-12.4,-5.8
2002,NCAA-I,0.6,1.01,Brittany,Hoole,F,Sacred Heart,2,1,0,1,0.5,0.6,,,,0,,1,,0,,,27,1,0,1,0.5,486,82,107,0.9,0.4,0.1,0.1
2009,NCAA-I,0.6,1.24,Belina,Hooper,F,Rit,26,5,6,11,4.4,6.6,34,,,0,,0,,0,,,27,6,7,14,5.4,477,129,209,22.6,8.6,-11.6,-4.2
2009,NCAA-I,0.6,1.24,Jessica,Hootz,D,Colgate,36,1,0,1,0.5,0.6,14,,,0,,0,,0,,,27,1,0,1,0.6,639,86,131,8.6,3.4,-7.6,-2.9
2010,NCAA-I,0.6,1.21,Jessica,Hootz,D,Colgate,33,3,6,9,3.3,5.4,22,,,1,,0,,0,,,27,4,7,11,3.9,531,63,107,7.1,2.7,1.9,0.6
2011,NCAA-I,0.6,1.12,Jessica,Hootz,D,Colgate,33,0,7,7,2.1,4.2,14,,,0,,0,,0,,,27,0,8,8,2.3,532,66,111,7.5,2.9,-0.5,-0.8
2012,NCAA-I,0.6,1.19,Jessica,Hootz,D,Colgate,35,0,0,0,0,0,8,,,0,,0,,0,,,27,0,0,0,0,598,66,96,6.7,2.7,-6.7,-2.7
2016,NCAA-I,0.6,1.3,Anonda,Hoppner,F,Colgate,36,5,7,12,4.7,7.2,16,,,0,,0,,0,,,27,7,9,16,6.1,630,105,170,19.1,7.3,-7.1,-2.6
2003,NCAA-I,0.6,1.13,Meghan,Hopps,F,North Dakota,32,3,1,4,1.9,2.4,,,,0,,0,,0,,,27,3,1,5,2.1,558,89,120,15,6.3,-11,-4.4
2004,NCAA-I,0.6,1.09,Meghan,Hopps,F,North Dakota,35,4,2,6,2.8,3.6,,,,0,,0,,0,,,27,4,2,7,3,574,74,95,12.7,5.5,-6.7,-2.7
2005,NCAA-I,0.6,1.19,Meghan,Hopps,F,North Dakota,35,0,0,0,0,0,,,,0,,0,,0,,,27,0,0,0,0,582,53,67,9.2,4.1,-9.2,-4.1
2009,NCAA-I,0.6,1.24,Kelly,Horan,F,Connecticut,37,6,12,18,6.6,10.8,8,,,0,,0,,1,,,27,7,15,22,8.2,666,95,159,16.7,6.3,1.3,0.3
2010,NCAA-I,0.6,1.21,Kelly,Horan,F,Connecticut,35,9,9,18,7.3,10.8,12,,,3,,0,,1,,,27,11,11,22,8.8,621,68,109,11.4,4.2,6.6,3.1
2011,NCAA-I,0.6,1.12,Kelly,Horan,F,Connecticut,34,3,6,9,3.4,5.4,16,,,2,,0,,1,,,27,3,7,10,3.8,593,55,86,9.6,3.8,-0.6,-0.4
2012,NCAA-I,0.6,1.19,Kelly,Horan,F,Connecticut,30,3,9,12,4.3,7.2,6,,,0,,0,,0,,,27,4,11,14,5.1,566,58,93,9.3,3.7,2.7,0.6
2009,NCAA-I,0.6,1.24,Kristine,Horn,F,New Hampshire,33,8,13,21,8,12.6,10,,,5,,0,,0,,,27,10,16,26,9.9,593,99,162,17,6.4,4,1.5
2010,NCAA-I,0.6,1.21,Kristine,Horn,F,New Hampshire,32,5,10,15,5.9,9,10,,,0,,0,,0,,,27,6,12,18,7.1,570,58,85,9.1,3.8,5.9,2.1
2011,NCAA-I,0.6,1.12,Kristine,Horn,F,New Hampshire,34,8,17,25,9.6,15,16,,,3,,0,,0,,,27,9,19,28,10.7,581,74,113,12.1,4.9,12.9,4.6
2012,NCAA-I,0.6,1.19,Kristine,Horn,F,New Hampshire,34,5,15,20,7.2,12,6,,,2,,0,,0,,,27,6,18,24,8.6,611,82,131,13.6,5.4,6.4,1.7
2007,NCAA-I,0.6,1.2,Katie,Horner,D,Dartmouth,33,0,4,4,1.3,2.4,30,,,0,,0,,0,,,27,0,5,5,1.6,527,106,158,11.6,4.7,-7.6,-3.4
2008,NCAA-I,0.6,1.15,Katie,Horner,D,Dartmouth,23,0,2,2,0.6,1.2,32,,,0,,0,,0,,,27,0,2,2,0.7,612,125,200,8.4,3.3,-6.4,-2.6
2009,NCAA-I,0.6,1.24,Katie,Horner,D,Dartmouth,22,0,1,1,0.3,0.6,12,,,0,,0,,0,,,27,0,1,1,0.4,488,90,134,7,2.8,-6,-2.5
2010,NCAA-I,0.6,1.21,Katie,Horner,D,Dartmouth,34,1,4,5,1.8,3,30,,,0,,0,,0,,,27,1,5,6,2.2,612,108,162,10.4,4.2,-5.4,-2.4
2001,NCAA-I,0.6,1.01,Caitlin,Hornyak,RW,Colgate,32,4,6,10,4.3,6,,,,0,,0,,0,,,27,4,6,10,4.4,591,83,106,12.3,5.4,-2.3,-1.1
2002,NCAA-I,0.6,1.01,Caitlin,Hornyak,RW,Colgate,34,2,3,5,2.3,3,,,,0,,0,,1,,,27,2,3,5,2.3,592,70,84,10.9,5,-5.9,-2.7
2003,NCAA-I,0.6,1.13,Caitlin,Hornyak,RW,Colgate,35,1,5,6,2.1,3.6,,,,0,,0,,0,,,27,1,6,7,2.4,620,84,128,14.8,6,-8.8,-3.8
2014,NCAA-I,0.6,1.3,Elena,Horton,F,Dartmouth,29,0,1,1,0.3,0.6,0,,,0,,0,,0,,,27,0,1,1,0.4,536,81,121,13.8,5.6,-12.8,-5.2
2006,NCAA-I,0.6,1.13,Jaimie,Horton,F,Minnesota,36,1,0,1,0.5,0.6,,,,0,,0,,0,,,27,1,0,1,0.6,622,115,181,21.7,8.4,-20.7,-7.9
2007,NCAA-I,0.6,1.2,Jaimie,Horton,F,Minnesota,26,0,0,0,0,0,6,,,0,,0,,0,,,27,0,0,0,0,651,135,211,17.3,6.7,-17.3,-6.7
2008,NCAA-I,0.6,1.15,Jaimie,Horton,F,Minnesota,39,4,6,10,3.9,6,8,,,0,,0,,0,,,27,5,7,11,4.5,720,198,316,34.6,13.3,-24.6,-9.5
2009,NCAA-I,0.6,1.24,Jaimie,Horton,F,Minnesota,40,1,2,3,1.2,1.8,8,,,0,,0,,0,,,27,1,2,4,1.5,705,129,189,22.7,9.2,-19.7,-8.1
2013,NCAA-I,0.6,1.31,Paige,Horton,D,Mercyhurst,37,2,4,6,2.2,3.6,24,,,0,,0,,0,,,27,3,5,8,2.8,662,123,209,12.9,4.8,-6.9,-2.6
2014,NCAA-I,0.6,1.3,Paige,Horton,D,Mercyhurst,28,2,0,2,1,1.2,12,,,2,,0,,0,,,27,3,0,3,1.3,625,96,164,8.1,2.9,-6.1,-1.9
2015,NCAA-I,0.6,1.28,Paige,Horton,D,Mercyhurst,26,2,12,14,4.7,8.4,6,,,2,,0,,0,,,27,3,15,18,6,627,92,150,6.6,2.6,7.4,2.1
2016,NCAA-I,0.6,1.3,Paige,Horton,D,Mercyhurst,35,2,14,16,5,9.6,30,,,0,,0,,0,,,27,3,18,21,6.5,630,92,162,9.3,3.5,6.7,1.4
2009,NCAA-I,0.6,1.24,Taylor,Horton,F,Rensselaer,37,7,11,18,7,10.8,22,,,2,,0,,0,,,27,9,14,22,8.6,660,87,138,14.8,5.7,3.2,1.3
2010,NCAA-I,0.6,1.21,Taylor,Horton,F,Rensselaer,35,12,10,22,9.2,13.2,34,,,4,,0,,0,,,27,14,12,27,11.1,590,58,90,9.5,3.5,12.5,5.7
2011,NCAA-I,0.6,1.12,Taylor,Horton,F,Rensselaer,34,9,8,17,7.3,10.2,36,,,2,,1,,0,,,27,10,9,19,8.1,553,73,106,12.7,5,4.3,2.2
2012,NCAA-I,0.6,1.19,Taylor,Horton,F,Rensselaer,36,12,8,20,8.9,12,42,,,3,,2,,0,,,27,14,10,24,10.6,631,76,104,11.6,4.6,8.4,4.3
2013,NCAA-I,0.6,1.31,Laura,Horwood,F,Rensselaer,33,6,4,10,4.3,6,18,,,1,,0,,0,,,27,8,5,13,5.6,588,68,108,11.8,4.4,-1.8,-0.2
2014,NCAA-I,0.6,1.3,Laura,Horwood,F,Rensselaer,33,7,7,14,5.8,8.4,16,,,1,,0,,0,,,27,9,9,18,7.5,590,63,98,10.5,4,3.5,1.8
2015,NCAA-I,0.6,1.28,Laura,Horwood,F,Rensselaer,24,6,8,14,5.7,8.4,8,,,1,,0,,0,,,27,8,10,18,7.2,600,62,93,7.1,2.8,7,2.9
2016,NCAA-I,0.6,1.3,Laura,Horwood,F,Rensselaer,29,6,13,19,7.1,11.4,14,,,1,,0,,1,,,27,8,17,25,9.3,637,62,98,8.1,3.2,10.9,3.9
2010,NCAA-I,0.6,1.21,Akane,Hosoyamada,D,Syracuse,36,2,16,18,5.7,10.8,10,,,1,,0,,0,,,27,2,19,22,6.8,647,88,151,8.7,3.4,9.3,2.3
2011,NCAA-I,0.6,1.12,Akane,Hosoyamada,D,Syracuse,8,0,2,2,0.6,1.2,6,,,0,,0,,0,,,27,0,2,2,0.7,627,78,130,1.8,0.7,0.2,-0.1
2012,NCAA-I,0.6,1.19,Akane,Hosoyamada,D,Syracuse,36,4,12,16,6,9.6,26,,,1,,0,,0,,,27,5,14,19,7.1,626,97,146,9.2,3.8,6.8,2.2
2013,NCAA-I,0.6,1.31,Akane,Hosoyamada,F/D,Syracuse,37,4,12,16,5.7,9.6,20,,,3,,0,,0,,,27,5,16,21,7.5,666,99,159,17.1,6.7,-1.1,-1
2014,NCAA-I,0.6,1.3,Akane,Hosoyamada,F/D,Syracuse,34,0,9,9,2.7,5.4,28,,,0,,0,,0,,,27,0,12,12,3.5,648,75,127,12.8,5,-3.8,-2.3
2005,NCAA-I,0.6,1.19,Megan,Hostasek,D,Ohio State,36,1,0,1,0.5,0.6,,,,0,,0,,1,,,27,1,0,1,0.6,624,87,114,8.2,3.5,-7.2,-3
2006,NCAA-I,0.6,1.13,Megan,Hostasek,D,Ohio State,36,1,8,9,2.9,5.4,,,,0,,0,,0,,,27,1,9,10,3.3,666,112,183,10.9,4.2,-1.9,-1.3
2007,NCAA-I,0.6,1.2,Megan,Hostasek,D,Ohio State,34,0,0,0,0,0,24,,,0,,0,,0,,,27,0,0,0,0,661,108,178,10.3,3.9,-10.3,-3.9
2008,NCAA-I,0.6,1.15,Megan,Hostasek,D,Ohio State,35,1,2,3,1.1,1.8,53,,,0,,0,,0,,,27,1,2,3,1.3,615,82,127,8.3,3.3,-5.3,-2.1
2004,NCAA-I,0.6,1.09,Samantha,Hough,F,Minnesota Duluth,32,3,2,5,2.2,3,,,,1,,0,,0,,,27,3,2,5,2.3,594,131,201,22.3,8.7,-17.3,-6.6
2005,NCAA-I,0.6,1.19,Samantha,Hough,F,Minnesota Duluth,29,3,5,8,3.4,4.8,,,,1,,0,,0,,,27,4,6,10,4.1,612,120,156,16,7,-8,-3.6
2006,NCAA-I,0.6,1.13,Samantha,Hough,F,Minnesota Duluth,6,0,0,0,0,0,,,,0,,0,,0,,,27,0,0,0,0,676,128,199,3.5,1.4,-3.5,-1.4
2002,NCAA-I,0.6,1.01,Jennifer,Houlden,D,Connecticut,35,2,3,5,2.2,3,,,,1,,0,,0,,,27,2,3,5,2.2,627,58,74,5,2.2,0,0
2003,NCAA-I,0.6,1.13,Jennifer,Houlden,D,Connecticut,34,1,6,7,2.8,4.2,,,,1,,0,,0,,,27,1,7,8,3.2,611,59,76,5,2.3,2,0.5
2004,NCAA-I,0.6,1.09,Jennifer,Houlden,D,Connecticut,36,2,7,9,3.6,5.4,,,,0,,0,,0,,,27,2,8,10,4,642,95,126,8.4,3.7,0.6,0
2005,NCAA-I,0.6,1.19,Jennifer,Houlden,D,Connecticut,34,1,6,7,2.5,4.2,,,,1,,0,,0,,,27,1,7,8,3,496,63,94,7.4,3,-0.4,-0.5
2016,NCAA-I,0.6,1.3,Ryleigh,Houston,F,North Dakota,38,8,18,26,9.7,15.6,8,,,3,,0,,1,,,27,10,23,34,12.7,682,84,132,13.5,5.4,12.5,4.3
2013,NCAA-I,0.6,1.31,Brittany,Howard,F,Robert Morris,34,17,24,41,15.9,24.6,51,,,5,,0,,0,,,27,22,31,54,20.8,630,100,162,15.1,5.7,25.9,10.2
2014,NCAA-I,0.6,1.3,Brittany,Howard,F,Robert Morris,2,0,1,1,0.3,0.6,2,,,0,,0,,0,,,27,0,1,1,0.4,630,68,107,0.7,0.3,0.3,0.1
2015,NCAA-I,0.6,1.28,Brittany,Howard,F,Robert Morris,36,17,23,40,15.4,24,24,,,3,,1,,1,,,27,22,29,51,19.6,683,108,181,16.6,6.1,23.4,9.3
2016,NCAA-I,0.6,1.3,Brittany,Howard,F,Robert Morris,35,20,30,50,18.9,30,52,,,8,,0,,0,,,27,26,39,65,24.7,623,106,178,16.7,6.1,33.3,12.8
2012,NCAA-I,0.6,1.19,Olivia,Howe,F,Clarkson,36,6,2,8,3.6,4.8,10,,,0,,0,,0,,,27,7,2,10,4.3,583,110,184,22.6,8.2,-14.6,-4.6
2013,NCAA-I,0.6,1.31,Olivia,Howe,F,Clarkson,41,9,15,24,8.6,14.4,0,,,0,,0,,1,,,27,12,20,31,11.3,653,150,272,32,11.3,-8,-2.7
2014,NCAA-I,0.6,1.3,Olivia,Howe,F,Clarkson,36,11,20,31,11.6,18.6,6,,,3,,0,,0,,,27,14,26,40,15,581,109,180,20.5,7.8,10.5,3.8
2015,NCAA-I,0.6,1.28,Olivia,Howe,F,Clarkson,39,16,21,37,14.5,22.2,10,,,3,,2,,2,,,27,20,27,47,18.5,718,140,227,22.7,8.5,14.3,5.9
2016,NCAA-I,0.6,1.3,Tori,Howran,D,New Hampshire,31,0,5,5,1.7,3,16,,,0,,0,,0,,,27,0,7,7,2.2,606,89,133,7.8,3.2,-2.8,-1.5
2005,NCAA-I,0.6,1.19,Crysti,Howser,F,Yale,24,12,13,25,10.5,15,,,,3,,1,,0,,,27,14,15,30,12.5,502,80,115,10.2,4.1,14.8,6.4
2006,NCAA-I,0.6,1.13,Crysti,Howser,F,Yale,27,22,15,37,15.9,22.2,,,,6,,2,,1,,,27,25,17,42,18,556,96,146,12.6,4.5,24.4,11.4
2007,NCAA-I,0.6,1.2,Crysti,Howser,F,Yale,29,10,19,29,11.3,17.4,36,,,3,,0,,0,,,27,12,23,35,13.6,477,70,105,11.3,4.7,17.7,6.7
2008,NCAA-I,0.6,1.15,Crysti,Howser,F,Yale,29,13,11,24,10.1,14.4,46,,,2,,0,,1,,,27,15,13,28,11.5,479,53,82,8.6,3.1,15.4,7
2010,NCAA-I,0.6,1.21,Jessica,Hoyl,F,Brown,29,2,5,7,2.8,4.2,6,,,0,,0,,0,,,27,2,6,8,3.4,514,38,53,6,2.6,1,0.2
2011,NCAA-I,0.6,1.12,Jessica,Hoyle,F,Brown,30,5,8,13,4.9,7.8,12,,,2,,0,,0,,,27,6,9,15,5.5,533,61,100,10.6,4,2.4,0.9
2012,NCAA-I,0.6,1.19,Jessica,Hoyle,F,Brown,26,5,7,12,4.9,7.2,8,,,1,,1,,1,,,27,6,8,14,5.8,480,42,62,6.3,2.5,5.7,2.3
2013,NCAA-I,0.6,1.31,Jessica,Hoyle,F,Brown,29,6,4,10,4.4,6,10,,,0,,1,,0,,,27,8,5,13,5.8,504,42,60,6.7,2.6,3.3,1.8
2002,NCAA-I,0.6,1.01,Amelia,Hradsky,F,Minnesota Duluth,36,8,10,18,7.2,10.8,,,,0,,0,,0,,,27,8,10,18,7.3,622,226,352,41.3,16.1,-23.3,-8.9
2011,NCAA-I,0.6,1.12,Kristin,Huber,F,Bemidji State,33,5,8,13,4.9,7.8,30,,,1,,0,,0,,,27,6,9,15,5.5,666,101,167,16,6,-3,-1.1
2012,NCAA-I,0.6,1.19,Kristin,Huber,F,Bemidji State,18,3,4,7,2.7,4.2,14,,,0,,0,,0,,,27,4,5,8,3.2,606,49,83,4.6,1.7,2.4,1
2014,NCAA-I,0.6,1.3,Kristin,Huber,F,Bemidji State,36,8,5,13,5.6,7.8,33,,,2,,0,,0,,,27,10,7,17,7.3,702,86,136,13.6,5.1,-0.6,0.5
2015,NCAA-I,0.6,1.28,Kristin,Huber,F,Bemidji State,35,11,9,20,8.3,12,18,,,4,,0,,0,,,27,14,11,26,10.6,648,77,123,12.3,4.5,7.7,3.8
2012,NCAA-I,0.6,1.19,Katie,Hubert,F,Rit,35,4,9,13,4.8,7.8,14,,,3,,0,,0,,,27,5,11,16,5.7,652,96,156,16.3,6.3,-3.3,-1.5
2013,NCAA-I,0.6,1.31,Katie,Hubert,F,Rit,34,1,3,4,1.4,2.4,12,,,0,,0,,0,,,27,1,4,5,1.8,680,87,147,14.5,5.4,-10.5,-4
2001,NCAA-I,0.6,1.01,Emily,Hudak,D,Ohio State,37,6,22,28,10.7,16.8,,,,4,,0,,0,,,27,6,22,28,10.8,662,90,129,7.5,3.3,20.5,7.4
2002,NCAA-I,0.6,1.01,Emily,Hudak,D,Ohio State,37,0,15,15,5.1,9,,,,0,,0,,0,,,27,0,15,15,5.1,665,88,130,8,3.5,7,1.6
2002,NCAA-I,0.6,1.01,Kate,Hudspeth,F,Vermont,30,1,0,1,0.5,0.6,,,,1,,0,,0,,,27,1,0,1,0.5,532,21,29,3.5,1.4,-2.5,-0.9
2003,NCAA-I,0.6,1.13,Kate,Hudspeth,F,Vermont,34,4,1,5,2.5,3,,,,0,,0,,0,,,27,5,1,6,2.8,599,47,52,6.8,3.1,-1.8,-0.7
2004,NCAA-I,0.6,1.09,Kate,Hudspeth,F,Vermont,33,3,2,5,2.3,3,,,,1,,0,,0,,,27,3,2,5,2.6,609,37,44,5.2,2.3,-0.2,0
2005,NCAA-I,0.6,1.19,Kate,Hudspeth,F,Vermont,32,4,2,6,2.8,3.6,,,,1,,0,,1,,,27,5,2,7,3.3,609,31,38,4.2,1.8,1.8,1
2011,NCAA-I,0.6,1.12,Meghan,Huertas,F,Vermont,26,1,9,10,3.2,6,40,,,0,,0,,0,,,27,1,10,11,3.6,512,53,89,8.5,3.3,1.5,-0.2
2012,NCAA-I,0.6,1.19,Meghan,Huertas,F,Vermont,22,8,6,14,5.9,8.4,38,,,0,,0,,0,,,27,10,7,17,7,500,71,115,9.5,3.5,4.5,2.4
2013,NCAA-I,0.6,1.31,Meghan,Huertas,F,Minnesota Duluth,36,8,9,17,6.8,10.2,51,,,1,,0,,1,,,27,10,12,22,8.9,595,84,133,15.5,5.9,1.5,1
2014,NCAA-I,0.6,1.3,Meghan,Huertas,F,Minnesota Duluth,36,11,8,19,8,11.4,30,,,4,,1,,1,,,27,14,10,25,10.4,659,98,157,16.4,6,2.6,2
2016,NCAA-I,0.6,1.3,Sabrina,Huett,F,Dartmouth,28,0,1,1,0.3,0.6,4,,,0,,0,,0,,,27,0,1,1,0.4,473,38,58,7.2,2.9,-6.2,-2.5
2008,NCAA-I,0.6,1.15,Aleca,Hughes,F,Yale,29,7,9,16,6.4,9.6,8,,,2,,0,,0,,,27,8,10,18,7.4,479,53,82,9.2,3.6,6.8,2.9
2009,NCAA-I,0.6,1.24,Aleca,Hughes,F,Yale,29,9,8,17,7.3,10.2,22,,,2,,0,,1,,,27,11,10,21,9.1,462,56,79,9.5,3.8,7.5,3.6
